0,0,0
10,0,0
20,0,0
30,0,0
40,0,0
50,0,0
60,0,0
70,0,0
80,0,0
90,0,0
100,0,0
110,0,0
120,0,0
130,0,0
140,0,0
150,0,0
160,0,0
170,0,0
180,0,0
190,0,0
200,0,0
210,0,3
220,-83,71
230,-55,71
240,-59,47
250,-68,83
260,-82,75
270,-43,64
280,-48,18
290,-10,15
300,-38,36
310,-29,39
320,-29,28
330,-39,32
340,-23,53
350,-38,15
360,-21,25
370,-24,12
380,-31,28
390,-27,33
400,-37,29
410,-12,20
420,-33,42
430,-46,24
441,-25,30
451,-32,31
461,-41,50
471,-43,34
481,-31,39
491,-12,28
501,-22,21
511,-25,18
521,-22,9
531,-19,29
541,-29,19
551,-22,27
561,-13,16
571,-11,25
581,-22,10
591,-14,22
601,-18,17
611,-26,19
621,-20,18
631,-13,10
641,-20,14
651,-21,17
661,-18,27
671,-25,46
681,-32,35
691,-21,17
701,-16,12
711,-16,21
721,-15,14
731,-14,18
741,-22,14
751,-16,16
761,-15,21
771,-19,17
781,-10,11
791,-36,30
801,-89,78
811,-59,75
821,-75,66
831,-83,63
841,-63,76
851,-68,36
861,-39,57
871,-36,28
882,-22,21
892,-25,20
902,-28,23
912,-16,14
922,-27,21
932,-18,20
942,-17,21
952,-25,19
962,-13,27
972,-15,10
982,-12,15
992,-91,72
1002,-62,53
1012,-52,48
1022,-40,30
1032,-36,21
1042,-20,28
1052,-20,15
1062,-23,33
1072,-21,10
1082,-16,19
1092,-19,20
1102,-15,14
1112,-18,20
1122,-8,16
1132,-10,19
1142,-18,12
1152,-12,16
1162,-19,12
1172,-18,12
1182,-17,23
1192,-13,10
1202,-19,6
1212,-12,10
1222,-9,14
1232,-8,17
1242,-18,13
1252,-19,22
1262,-16,16
1272,-15,17
1282,-21,13
1292,-12,19
1302,-13,11
1312,-13,9
1323,-9,9
1333,-11,12
1343,-9,11
1353,-16,7
1363,-8,19
1373,-23,23
1383,-21,14
1393,-14,20
1403,-18,15
1413,-22,12
1423,-12,12
1433,-11,12
1443,-18,10
1453,-10,16
1463,-13,15
1473,-11,10
1483,-11,9
1493,-13,6
1503,-13,16
1513,-15,9
1523,-15,12
1533,-10,10
1543,-8,10
1553,-9,11
1563,-13,8
1573,-15,20
1583,-12,7
1593,-8,10
1603,-11,10
1613,-16,12
1623,-11,14
1633,-24,16
1643,-18,11
1653,-11,11
1663,-11,12
1673,-15,12
1683,-11,11
1693,-13,5
1703,-13,17
1713,-15,13
1723,-10,14
1733,-23,14
1743,-17,17
1753,-15,9
1764,-9,17
1774,-8,10
1784,-75,70
1794,-57,69
1804,-54,42
1814,-63,79
1824,-79,77
1834,-40,51
1844,-44,15
1854,-4,14
1864,-22,12
1874,-24,25
1884,-30,26
1894,-32,28
1904,-26,39
1914,-25,14
1924,-13,28
1934,-17,14
1944,-21,21
1954,-25,32
1964,-29,25
1974,-11,10
1984,-22,29
1994,-45,18
2004,-19,31
2014,-22,19
2024,-22,42
2034,-47,31
2044,-30,31
2054,-15,19
2064,-12,11
2074,-19,17
2084,-14,4
2094,-8,14
2104,-16,14
2114,-17,14
2124,-11,10
2134,-7,11
2144,-18,7
2154,-6,14
2164,-9,7
2174,-14,14
2184,-14,15
2194,-5,4
2205,-9,7
2215,-15,10
2225,-10,15
2235,-14,12
2245,-4,4
2255,-4,6
2265,-9,4
2275,-9,10
2285,-12,10
2295,-14,10
2305,-8,3
2315,-9,8
2325,-8,8
2335,-8,3
2345,-5,5
2355,-25,40
2365,-81,70
2375,-52,65
2385,-72,60
2395,-80,63
2405,-62,71
2415,-68,42
2425,-36,57
2435,-36,24
2445,-16,15
2455,-20,15
2465,-22,18
2475,-14,11
2485,-24,16
2495,-15,13
2505,-15,18
2515,-21,13
2525,-10,17
2535,-8,7
2545,-7,8
2555,-92,73
2565,-61,53
2575,-40,49
2585,-39,23
2595,-30,23
2605,-18,21
2615,-10,14
2625,-14,14
2635,-17,10
2646,-16,8
2656,-11,16
2666,-11,13
2676,-16,17
2686,-6,8
2696,-9,8
2706,-11,5
2716,-4,6
2726,-8,9
2736,-22,11
2746,-9,12
2756,-8,4
2766,-11,10
2776,-4,3
2786,-5,6
2796,-5,7
2806,-18,7
2816,-12,15
2826,-11,12
2836,-9,7
2846,-13,7
2856,-8,10
2866,-9,4
2876,-9,3
2886,-7,7
2896,-6,7
2906,-7,7
2916,-13,3
2926,-8,11
2936,-16,15
2946,-15,13
2956,-8,14
2966,-15,12
2976,-23,10
2986,-6,11
2996,-4,8
3006,-10,5
3016,-6,7
3026,-9,9
3036,-7,3
3046,-9,5
3056,-10,3
3066,-5,10
3076,-9,3
3087,-5,7
3097,-4,3
3107,-5,3
3117,-3,7
3127,-9,5
3137,-8,14
3147,-12,3
3157,-8,7
3167,-4,9
3177,-12,7
3187,-4,10
3197,-18,10
3207,-18,8
3217,-4,7
3227,-8,10
3237,-11,10
3247,-9,7
3257,-10,3
3267,-12,14
3277,-12,7
3287,-7,11
3297,-17,17
3307,-16,14
3317,-11,4
3327,-9,12
3337,-49,12
3347,-75,69
3357,-54,43
3367,-59,37
3377,-61,78
3387,-75,54
3397,-41,48
3407,-28,11
3417,-8,10
3427,-20,18
3437,-25,24
3447,-24,26
3457,-29,25
3467,-18,39
3477,-23,21
3487,-11,23
3497,-11,17
3507,-22,17
3517,-22,28
3528,-25,12
3538,-18,9
3548,-21,28
3558,-44,28
3568,-17,24
3578,-25,17
3588,-34,41
3598,-43,31
3608,-22,21
3618,-8,17
3628,-9,14
3638,-18,14
3648,-12,4
3658,-14,12
3668,-15,13
3678,-14,11
3688,-3,10
3698,-8,9
3708,-15,3
3718,-3,13
3728,-12,3
3738,-11,14
3748,-10,8
3758,-1,4
3768,-10,8
3778,-11,7
3788,-6,13
3798,-14,3
3808,-2,3
3818,-5,4
3828,-8,4
3838,-6,10
3848,-11,7
3858,-11,7
3868,-5,1
3878,-5,7
3888,-4,5
3898,-6,3
3908,-1,3
3918,-34,38
3928,-82,70
3938,-53,57
3948,-72,52
3958,-80,64
3969,-22,71
3979,-67,54
3989,-36,54
3999,-20,24
4009,-16,14
4019,-21,14
4029,-18,17
4039,-11,14
4049,-22,14
4059,-14,12
4069,-10,17
4079,-22,16
4089,-8,17
4099,-7,3
4109,-4,7
4119,-90,75
4129,-62,67
4139,-40,46
4149,-30,27
4159,-33,29
4169,-17,21
4179,-10,12
4189,-16,12
4199,-17,10
4209,-12,9
4219,-11,17
4229,-6,17
4239,-17,14
4249,-7,7
4259,-5,7
4269,-11,6
4279,-6,4
4289,-20,12
4299,-11,8
4309,-2,12
4319,-7,4
4329,-10,10
4339,-3,2
4349,-4,5
4359,-4,6
4369,-17,13
4379,-11,14
4389,-9,10
4399,-8,7
4410,-12,7
4420,-8,8
4430,-7,3
4440,-6,3
4450,-6,6
4460,-4,4
4470,-4,8
4480,-14,0
4490,-15,10
4500,-16,15
4510,-15,10
4520,-13,14
4530,-14,11
4540,-25,11
4550,-6,5
4560,-4,7
4570,-9,6
4580,-5,6
4590,-8,9
4600,-5,3
4610,-9,5
4620,-11,2
4630,-8,10
4640,-8,7
4650,-4,7
4660,-3,3
4670,-4,3
4680,-3,6
4690,-9,3
4700,-12,13
4710,-9,3
4720,-4,7
4730,-5,8
4740,-12,10
4750,-5,7
4760,-18,10
4770,-11,8
4780,-5,7
4790,-11,9
4800,-11,8
4810,-8,6
4820,-11,3
4830,-10,14
4840,-11,10
4851,-6,10
4861,-17,17
4871,-8,14
4881,-11,7
4891,-9,12
4901,-78,62
4911,-78,69
4921,-48,41
4931,-62,36
4941,-75,78
4951,-69,49
4961,-43,15
4971,-3,12
4981,-19,8
4991,-12,23
5001,-25,4
5011,-22,25
5021,-29,33
5031,-24,38
5041,-10,23
5051,-11,0
5061,-6,17
5071,-22,17
5081,-23,28
5091,-26,5
5101,-22,19
5111,-44,28
5121,-45,28
5131,-11,17
5141,-25,41
5151,-43,40
5161,-22,31
5171,-22,14
5181,-9,17
5191,-10,14
5201,-18,2
5211,-12,12
5221,-15,10
5231,-8,14
5241,-14,10
5251,-3,8
5261,-15,8
5271,-9,10
5281,-3,14
5292,-12,3
5302,-10,14
5312,-9,3
5322,-10,4
5332,-6,8
5342,-11,4
5352,-14,13
5362,-10,2
5372,-2,4
5382,-5,3
5392,-8,10
5402,-5,8
5412,-11,6
5422,-4,7
5432,-5,7
5442,-5,5
5452,-6,5
5462,-2,3
5472,-25,7
5482,-83,75
5492,-83,68
5502,-61,60
5512,-58,54
5522,-67,60
5532,-58,66
5542,-40,49
5552,-35,25
5562,-16,21
5572,-7,10
5582,-18,15
5592,-11,19
5602,-22,15
5612,-22,10
5622,-15,18
5632,-22,18
5642,-16,17
5652,-8,0
5662,-4,3
5672,-90,75
5682,-68,71
5692,-29,45
5702,-40,49
5712,-33,21
5722,-14,25
5733,-16,11
5743,-13,9
5753,-15,14
5763,-5,9
5773,-13,17
5783,-11,6
5793,-16,16
5803,-15,7
5813,-7,5
5823,-11,7
5833,-9,5
5843,-7,10
5853,-20,13
5863,-11,12
5873,-4,9
5883,-10,0
5893,-6,10
5903,-3,5
5913,-4,6
5923,-18,5
5933,-17,14
5943,-11,7
5953,-8,10
5963,-11,7
5973,-7,8
5983,-8,3
5993,-3,3
6003,-6,6
6013,-5,4
6023,-4,7
6033,-14,8
6043,-4,10
