0,0,0
10,0,0
20,0,0
30,0,0
40,0,0
50,0,0
60,0,0
70,0,0
80,0,0
90,0,0
100,0,0
110,0,0
120,0,0
130,0,0
140,0,0
150,0,0
160,0,0
170,0,0
180,0,0
190,0,0
200,0,0
210,0,0
220,0,0
230,0,0
240,0,0
250,0,0
260,0,0
270,0,0
280,0,0
290,0,0
300,0,0
310,-4,3
320,-11,10
330,-13,14
340,-15,10
350,-18,14
360,-13,11
370,-10,9
380,-8,12
390,-13,10
400,-9,8
410,-12,11
420,-11,8
430,-10,7
441,-7,6
451,-9,8
461,-8,9
471,-8,7
481,-10,7
491,-8,7
501,-9,7
511,-8,7
521,-6,5
531,-8,7
541,-7,7
551,-10,9
561,-6,5
571,-11,10
581,-7,5
591,-10,7
601,-8,7
611,-8,5
621,-8,7
631,-8,7
641,-11,15
651,-18,11
661,-11,10
671,-11,9
681,-13,11
691,-8,8
701,-8,5
711,-7,7
721,-5,5
731,-8,6
741,-6,5
751,-7,6
761,-7,4
771,-5,6
781,-6,5
791,-5,7
801,-6,3
811,-5,6
821,-5,5
831,-5,5
841,-5,5
851,-5,4
861,-5,4
871,-4,4
882,-5,4
892,-4,3
902,-4,3
912,-4,4
922,-4,4
932,-4,4
942,-4,4
952,-4,3
962,-6,3
972,-15,13
982,-15,12
992,-18,14
1002,-12,10
1012,-10,8
1022,-8,7
1032,-8,7
1042,-9,7
1052,-8,7
1062,-7,5
1072,-7,6
1082,-6,4
1092,-8,5
1102,-7,4
1112,-7,3
1122,-7,5
1132,-8,4
1142,-4,3
1152,-6,4
1162,-6,4
1172,-5,3
1182,-5,4
1192,-5,2
1202,-4,4
1212,-4,2
1222,-4,4
1232,-3,2
1242,-4,4
1252,-3,3
1262,-4,3
1272,-4,3
1282,-10,5
1292,-16,12
1302,-11,9
1312,-13,10
1323,-5,5
1333,-6,6
1343,-4,3
1353,-4,5
1363,-4,3
1373,-4,3
1383,-4,3
1393,-3,3
1403,-4,3
1413,-4,3
1423,-5,3
1433,-6,5
1443,-10,7
1453,-6,5
1463,-5,5
1473,-4,4
1483,-5,6
1493,-4,5
1503,-6,3
1513,-3,3
1523,-4,3
1533,-4,3
1543,-4,2
1553,-4,3
1563,-4,3
1573,-4,3
1583,-4,2
1593,-4,2
1603,-4,2
1613,-8,7
1623,-7,7
1633,-7,5
1643,-7,7
1653,-6,7
1663,-5,3
1673,-5,6
1683,-5,5
1693,-6,4
1703,-4,3
1713,-4,3
1723,-4,4
1733,-4,4
1743,-8,4
1753,-17,11
1764,-11,9
1774,-7,7
1784,-8,5
1794,-6,7
1804,-4,3
1814,-4,3
1824,-4,3
1834,-4,3
1844,-4,2
1854,-4,3
1864,-4,1
1874,-3,3
1884,-4,1
1894,-2,2
1904,-4,1
1914,-3,2
1924,-3,1
1934,-3,2
1944,-3,2
1954,-3,2
1964,-2,2
1974,-3,0
1984,-2,2
1994,-3,1
2004,-3,2
2014,-3,1
2024,-3,2
2034,-4,2
2044,-4,3
2054,-5,3
2064,-13,7
2074,-15,11
2084,-8,7
2094,-8,7
2104,-8,7
2114,-5,5
2124,-4,3
2134,-4,4
2144,-4,3
2154,-4,3
2164,-4,3
2174,-4,3
2184,-4,3
2194,-4,3
2205,-4,3
2215,-4,2
2225,-11,8
2235,-9,10
2245,-8,9
2255,-7,6
2265,-5,3
2275,-4,4
2285,-4,3
2295,-5,4
2305,-4,3
2315,-4,3
2325,-4,3
2335,-4,3
2345,-4,3
2355,-4,3
2365,-5,3
2375,-7,6
2385,-13,14
2395,-11,12
2405,-11,10
2415,-5,5
2425,-5,6
2435,-5,4
2445,-5,3
2455,-5,3
2465,-5,3
2475,-5,3
2485,-5,3
2495,-5,4
2505,-4,3
2515,-5,3
2525,-4,3
2535,-4,3
2545,-8,7
2555,-18,15
2565,-19,17
2575,-16,12
2585,-10,10
2595,-9,7
2605,-7,5
2615,-6,5
2625,-5,5
2635,-7,5
2646,-8,6
2656,-6,5
2666,-6,5
2676,-5,4
2686,-4,5
2696,-7,4
2706,-8,10
2716,-16,14
2726,-11,7
2736,-6,7
2746,-4,4
2756,-8,5
2766,-8,6
2776,-5,5
2786,-4,3
2796,-5,4
2806,-5,3
2816,-4,3
2826,-4,3
2836,-4,4
2846,-3,3
2856,-5,4
2866,-8,10
2876,-12,11
2886,-10,8
2896,-13,11
2906,-12,10
2916,-8,10
2926,-7,7
2936,-9,6
2946,-7,6
2956,-8,7
2966,-7,8
2976,-7,7
2986,-7,8
2996,-8,7
3006,-7,5
3016,-8,7
3026,-8,7
3036,-7,6
3046,-4,4
3056,-6,5
3066,-6,5
3076,-5,4
3087,-4,3
3097,-4,3
3107,-4,3
3117,-4,3
3127,-4,3
3137,-3,2
3147,-3,2
3157,-3,2
3167,-3,2
3177,-3,2
3187,-5,5
3197,-10,9
3207,-10,10
3217,-14,14
3227,-16,16
3237,-11,11
3247,-12,11
3257,-11,10
3267,-7,8
3277,-8,9
3287,-8,8
3297,-9,7
3307,-7,7
3317,-8,7
3327,-8,7
3337,-8,6
3347,-7,7
3357,-8,7
3367,-8,7
3377,-7,7
3387,-7,6
3397,-8,6
3407,-6,6
3417,-6,6
3427,-6,6
3437,-5,5
3447,-5,4
3457,-5,4
3467,-5,3
3477,-5,3
3487,-4,3
3497,-4,3
3507,-3,3
3517,-12,10
3528,-10,13
3538,-18,13
3548,-18,19
3558,-14,15
3568,-11,8
3578,-14,12
3588,-8,7
3598,-8,7
3608,-8,11
3618,-8,9
3628,-8,8
3638,-9,6
3648,-8,8
3658,-8,10
3668,-9,9
3678,-9,7
3688,-6,5
3698,-8,7
3708,-8,6
3718,-6,3
3728,-8,5
3738,-8,4
3748,-7,3
3758,-5,4
3768,-8,3
3778,-7,3
3788,-4,3
3798,-6,3
3808,-6,3
3818,-5,3
3828,-4,3
3838,-7,7
3848,-6,8
3858,-8,7
3868,-8,10
3878,-16,16
3888,-9,7
3898,-8,9
3908,-8,9
3918,-8,7
3928,-7,8
3938,-8,7
3948,-7,6
3958,-6,5
3969,-6,5
3979,-5,3
3989,-5,3
3999,-12,14
4009,-11,8
4019,-5,6
4029,-6,7
4039,-10,8
4049,-6,4
4059,-7,5
4069,-7,6
4079,-7,4
4089,-7,4
4099,-6,4
4109,-5,5
4119,-6,4
4129,-5,3
4139,-5,5
4149,-4,5
4159,-4,5
4169,-4,3
4179,-4,4
4189,-4,5
4199,-6,6
4209,-4,3
4219,-3,2
4229,-2,3
4239,-2,2
4249,-2,2
4259,-2,2
4269,-2,2
4279,-2,1
4289,-2,1
4299,-2,2
4309,-3,1
4319,-4,3
4329,-8,7
4339,-14,13
4349,-9,11
4359,-9,9
4369,-11,7
4379,-13,10
4389,-11,7
4399,-7,5
4410,-8,5
4420,-6,7
4430,-6,4
4440,-5,4
4450,-5,5
4460,-6,5
4470,-4,4
4480,-6,6
4490,-8,7
4500,-15,12
4510,-11,9
4520,-12,10
4530,-8,9
4540,-6,7
4550,-5,5
4560,-5,7
4570,-5,7
4580,-4,6
4590,-4,5
4600,-5,5
4610,-4,4
4620,-5,5
4630,-5,5
4640,-9,7
4650,-14,13
4660,-8,9
4670,-8,5
4680,-8,8
4690,-6,8
4700,-7,7
4710,-8,7
4720,-7,7
4730,-7,7
4740,-7,7
4750,-7,5
4760,-7,5
4770,-7,4
4780,-6,4
4790,-6,5
4800,-7,4
4810,-8,7
4820,-8,7
4830,-8,7
4840,-6,3
4851,-5,5
4861,-6,6
4871,-6,7
4881,-4,3
4891,-6,6
4901,-4,7
4911,-5,6
4921,-5,6
4931,-4,5
4941,-4,6
4951,-4,5
4961,-8,7
4971,-6,4
4981,-8,8
4991,-9,8
5001,-8,7
5011,-8,7
5021,-10,8
5031,-9,8
5041,-10,9
5051,-11,10
5061,-10,9
5071,-11,12
5081,-8,9
5091,-8,10
5101,-8,7
5111,-8,8
5121,-7,10
5131,-7,10
5141,-11,11
5151,-10,8
5161,-12,16
5171,-12,10
5181,-13,9
5191,-11,7
5201,-7,7
5211,-8,5
5221,-6,4
5231,-7,5
5241,-6,5
5251,-8,3
5261,-5,7
5271,-8,7
5281,-6,4
5292,-9,7
5302,-11,11
5312,-15,14
5322,-14,15
5332,-11,9
5342,-10,12
5352,-9,10
5362,-11,10
5372,-11,9
5382,-8,8
5392,-9,9
5402,-6,6
5412,-6,6
5422,-3,2
5432,-2,2
5442,-2,1
5452,-2,0
5462,-1,1
5472,-15,20
5482,-12,10
5492,-19,22
5502,-18,21
5512,-10,8
5522,-9,8
5532,-9,10
5542,-7,7
5552,-11,7
5562,-8,5
5572,-9,8
5582,-5,4
5592,-8,7
5602,-7,5
5612,-8,6
5622,-7,6
5632,-5,3
5642,-4,3
5652,-3,2
5662,-3,1
5672,-2,2
5682,-2,1
5692,-3,1
5702,-3,1
5712,-2,2
5722,-2,1
5733,-2,1
5743,-3,2
5753,-4,3
5763,-3,2
5773,-3,3
5783,-2,1
5793,-2,1
5803,-11,11
5813,-14,12
5823,-12,13
5833,-17,17
5843,-14,14
5853,-11,11
5863,-13,7
5873,-8,7
5883,-9,7
5893,-8,7
5903,-8,7
5913,-8,6
5923,-7,5
5933,-8,5
5943,-7,4
5953,-10,7
5963,-8,7
5973,-6,5
5983,-4,3
5993,-2,2
6003,-3,1
6013,-3,1
6023,-3,1
6033,-3,2
6043,-3,1
6053,-3,1
